"","TCGA.E9.A248.01","TCGA.E2.A1AZ.01","TCGA.B6.A402.01","TCGA.BH.A0RX.01","TCGA.A7.A6VW.01","TCGA.S3.AA10.01","TCGA.A1.A0SK.01","TCGA.B6.A0IJ.01","TCGA.LL.A73Y.01","TCGA.B6.A1KF.01","TCGA.E2.A3DX.01","TCGA.BH.A1FB.01","TCGA.AR.A1AX.01","TCGA.AN.A049.01","TCGA.LL.A7SZ.01","TCGA.D8.A1X9.01","TCGA.BH.A0DV.01","TCGA.B6.A0IO.01","TCGA.E2.A1BC.01","TCGA.BH.A0BV.01"
"ESR1",1.30182231960311,0.817890754291356,-1.32418816415415,2.68818002822674,1.11579560254417,-0.61925642639894,-2.32722996036967,1.34517438848807,-0.693989634686863,2.31945592044023,6.2663761876329,6.72589960513518,5.6535474826013,8.4066604720499,3.15687822489236,8.0446674977615,6.12351671187394,8.32257684154484,6.46096118683059,8.01568508730403
"ERBB2",6.20513665637685,6.5510483994969,5.82148219176762,5.04459838179437,5.25893135588426,5.76911897302035,2.62543797487848,4.77618323208965,6.13702060363803,9.17008761525681,8.65318995027221,6.7021506693632,9.30248604376998,7.99406532844658,4.01794994902982,7.95469497740364,6.84340254126125,6.04070961011801,7.65375554078286,6.84317920915465
"PGR",-2.52053128213048,0.526216968420693,-5.08110531968198,-0.328000197269174,-5.44200683168169,-3.90140234833546,-2.19733886372945,-0.698445388138185,-1.66039205707044,-4.29520308536011,4.89143023893678,6.78553267870829,5.08466944160282,4.0764978655194,0.926032466203165,2.57771208815128,2.05152717490355,2.18916572504714,4.6286140521437,5.0973350885301
"PTEN",5.30475187441353,6.71537676029123,4.42301157519673,4.77976591689686,3.447505783365,4.77708961329921,4.9069981413186,4.68343993252227,5.01559604565947,5.51772569577603,5.80516800478184,6.11653438850932,5.44867809355263,6.19579110224047,2.66016814613952,5.98691728376968,5.68347182516169,4.29166616437778,6.52048919842847,5.88589684136627
"AKT1",6.15061781649582,5.80310396506552,6.01047071978853,5.47048622236631,5.913714666307,5.94826714255784,6.49284826807004,6.03387809238887,6.21109814582634,5.49677598301535,7.07299621162604,6.60539632902289,6.36404392272383,6.83654714221555,4.54382434286387,6.60535470577516,6.51001390033805,6.01355201707978,7.07228964367691,6.99686735765677
"PIK3CA",4.21915950299019,4.13832686401476,2.80533901149647,2.19902658083309,1.69219054141189,3.44356718471312,3.10358529119156,2.84985055931141,3.78913214079765,3.59831020941197,3.87133377825812,4.38219082079524,3.8106878663494,4.52716909271474,-0.502849325888022,4.12164001113507,3.49699936103612,2.98597123498146,4.24958315976795,4.53589066994679
"TP53",3.56115815207255,6.35759810190467,2.84253518000311,4.19917875364304,5.66445218979311,4.144570736205,7.43845126996686,6.30899408717171,4.10695925308245,4.55062218539733,5.00403356347973,5.71963073606936,5.55157919951455,5.7316897142141,3.54404915551874,4.87094701523268,5.37637010065489,5.50351653076887,5.22828075625261,6.11723734518412
